id,left,top,right,bottom,SAMPLE_1,SAMPLE_2,SAMPLE_3,SAMPLE_4
"258",27.649003343,43.181482027,27.650003343,43.181982027,,,,
"259",27.649003343,43.180982027,27.650003343,43.181482027,,,,
"260",27.649003343,43.180482027,27.650003343,43.180982027,,,,
"261",27.649003343,43.179982027,27.650003343,43.180482027,,,,
"262",27.649003343,43.179482027,27.650003343,43.179982027,,,,
"263",27.649003343,43.178982027,27.650003343,43.179482027,,,,
"264",27.649003343,43.178482027,27.650003343,43.178982027,,,,
"265",27.650003343,43.210982027,27.651003343,43.211482027,,,,
"266",27.650003343,43.210482027,27.651003343,43.210982027,,,,
"267",27.650003343,43.209982027,27.651003343,43.210482027,,,,
"268",27.650003343,43.209482027,27.651003343,43.209982027,,,,
"269",27.650003343,43.208982027,27.651003343,43.209482027,,,,
"270",27.650003343,43.208482027,27.651003343,43.208982027,,,,
"271",27.650003343,43.207982027,27.651003343,43.208482027,,,,
"272",27.650003343,43.207482027,27.651003343,43.207982027,,,,
"273",27.650003343,43.206982027,27.651003343,43.207482027,,,,
"274",27.650003343,43.206482027,27.651003343,43.206982027,,,,
"275",27.650003343,43.205982027,27.651003343,43.206482027,,,,
"276",27.650003343,43.205482027,27.651003343,43.205982027,,,,
"277",27.650003343,43.204982027,27.651003343,43.205482027,,,,
"278",27.650003343,43.204482027,27.651003343,43.204982027,,,,
"279",27.650003343,43.203982027,27.651003343,43.204482027,,,,
"280",27.650003343,43.203482027,27.651003343,43.203982027,,,,
"281",27.650003343,43.202982027,27.651003343,43.203482027,,,,
"282",27.650003343,43.202482027,27.651003343,43.202982027,,,,
"283",27.650003343,43.201982027,27.651003343,43.202482027,,,,
"284",27.650003343,43.201482027,27.651003343,43.201982027,,,,
"285",27.650003343,43.200982027,27.651003343,43.201482027,,,,
"286",27.650003343,43.200482027,27.651003343,43.200982027,,,,
"287",27.650003343,43.199982027,27.651003343,43.200482027,,,,
"288",27.650003343,43.199482027,27.651003343,43.199982027,,,,
"289",27.650003343,43.198982027,27.651003343,43.199482027,,,,
"290",27.650003343,43.198482027,27.651003343,43.198982027,,,,
"291",27.650003343,43.197982027,27.651003343,43.198482027,,,,
"292",27.650003343,43.197482027,27.651003343,43.197982027,,,,
"293",27.650003343,43.196982027,27.651003343,43.197482027,,,,
"294",27.650003343,43.196482027,27.651003343,43.196982027,,,,
"295",27.650003343,43.195982027,27.651003343,43.196482027,,,,
"296",27.650003343,43.195482027,27.651003343,43.195982027,,,,
"297",27.650003343,43.194982027,27.651003343,43.195482027,,,,
"298",27.650003343,43.194482027,27.651003343,43.194982027,,,,
"299",27.650003343,43.193982027,27.651003343,43.194482027,,,,
"300",27.650003343,43.193482027,27.651003343,43.193982027,,,,
"301",27.650003343,43.192982027,27.651003343,43.193482027,,,,
"302",27.650003343,43.192482027,27.651003343,43.192982027,,,,
"303",27.650003343,43.191982027,27.651003343,43.192482027,,,,
"304",27.650003343,43.191482027,27.651003343,43.191982027,,,,
"305",27.650003343,43.190982027,27.651003343,43.191482027,,,,
"306",27.650003343,43.190482027,27.651003343,43.190982027,,,,
"307",27.650003343,43.189982027,27.651003343,43.190482027,,,,
"308",27.650003343,43.189482027,27.651003343,43.189982027,,,,
"309",27.650003343,43.188982027,27.651003343,43.189482027,"173","144","52","255"
"310",27.650003343,43.188482027,27.651003343,43.188982027,"255","242","26","255"
"311",27.650003343,43.187982027,27.651003343,43.188482027,"255","231","22","255"
"312",27.650003343,43.187482027,27.651003343,43.187982027,"240","114","11","255"
"313",27.650003343,43.186982027,27.651003343,43.187482027,"221","19","7","255"
"314",27.650003343,43.186482027,27.651003343,43.186982027,"182","16","2","255"
"315",27.650003343,43.185982027,27.651003343,43.186482027,,,,
"316",27.650003343,43.185482027,27.651003343,43.185982027,,,,
"317",27.650003343,43.184982027,27.651003343,43.185482027,,,,
"318",27.650003343,43.184482027,27.651003343,43.184982027,,,,
"319",27.650003343,43.183982027,27.651003343,43.184482027,,,,
"320",27.650003343,43.183482027,27.651003343,43.183982027,,,,
"321",27.650003343,43.182982027,27.651003343,43.183482027,,,,
"322",27.650003343,43.182482027,27.651003343,43.182982027,,,,
"323",27.650003343,43.181982027,27.651003343,43.182482027,,,,
"324",27.650003343,43.181482027,27.651003343,43.181982027,,,,
"325",27.650003343,43.180982027,27.651003343,43.181482027,,,,
"326",27.650003343,43.180482027,27.651003343,43.180982027,,,,
"327",27.650003343,43.179982027,27.651003343,43.180482027,,,,
"328",27.650003343,43.179482027,27.651003343,43.179982027,,,,
"329",27.650003343,43.178982027,27.651003343,43.179482027,,,,
"330",27.650003343,43.178482027,27.651003343,43.178982027,,,,
"331",27.651003343,43.210982027,27.652003343,43.211482027,,,,
"332",27.651003343,43.210482027,27.652003343,43.210982027,,,,
"333",27.651003343,43.209982027,27.652003343,43.210482027,,,,
"334",27.651003343,43.209482027,27.652003343,43.209982027,,,,
"335",27.651003343,43.208982027,27.652003343,43.209482027,,,,
"336",27.651003343,43.208482027,27.652003343,43.208982027,,,,
"337",27.651003343,43.207982027,27.652003343,43.208482027,,,,
"338",27.651003343,43.207482027,27.652003343,43.207982027,,,,
"339",27.651003343,43.206982027,27.652003343,43.207482027,,,,
"340",27.651003343,43.206482027,27.652003343,43.206982027,,,,
"341",27.651003343,43.205982027,27.652003343,43.206482027,,,,
"342",27.651003343,43.205482027,27.652003343,43.205982027,,,,
"343",27.651003343,43.204982027,27.652003343,43.205482027,,,,
"344",27.651003343,43.204482027,27.652003343,43.204982027,,,,
"345",27.651003343,43.203982027,27.652003343,43.204482027,,,,
"346",27.651003343,43.203482027,27.652003343,43.203982027,,,,
"347",27.651003343,43.202982027,27.652003343,43.203482027,,,,
"348",27.651003343,43.202482027,27.652003343,43.202982027,,,,
"349",27.651003343,43.201982027,27.652003343,43.202482027,,,,
"350",27.651003343,43.201482027,27.652003343,43.201982027,,,,
"351",27.651003343,43.200982027,27.652003343,43.201482027,,,,
"352",27.651003343,43.200482027,27.652003343,43.200982027,,,,
"353",27.651003343,43.199982027,27.652003343,43.200482027,,,,
"354",27.651003343,43.199482027,27.652003343,43.199982027,,,,
"355",27.651003343,43.198982027,27.652003343,43.199482027,,,,
"356",27.651003343,43.198482027,27.652003343,43.198982027,,,,
"357",27.651003343,43.197982027,27.652003343,43.198482027,,,,
"358",27.651003343,43.197482027,27.652003343,43.197982027,,,,
"359",27.651003343,43.196982027,27.652003343,43.197482027,,,,
"360",27.651003343,43.196482027,27.652003343,43.196982027,,,,
"361",27.651003343,43.195982027,27.652003343,43.196482027,,,,
"362",27.651003343,43.195482027,27.652003343,43.195982027,,,,
"363",27.651003343,43.194982027,27.652003343,43.195482027,,,,
"364",27.651003343,43.194482027,27.652003343,43.194982027,,,,
"365",27.651003343,43.193982027,27.652003343,43.194482027,,,,
"366",27.651003343,43.193482027,27.652003343,43.193982027,,,,
"367",27.651003343,43.192982027,27.652003343,43.193482027,,,,
"368",27.651003343,43.192482027,27.652003343,43.192982027,,,,
"369",27.651003343,43.191982027,27.652003343,43.192482027,,,,
"370",27.651003343,43.191482027,27.652003343,43.191982027,,,,
"371",27.651003343,43.190982027,27.652003343,43.191482027,,,,
"372",27.651003343,43.190482027,27.652003343,43.190982027,,,,
"373",27.651003343,43.189982027,27.652003343,43.190482027,,,,
"374",27.651003343,43.189482027,27.652003343,43.189982027,,,,
"375",27.651003343,43.188982027,27.652003343,43.189482027,,,,
"376",27.651003343,43.188482027,27.652003343,43.188982027,"154","109","18","255"
"377",27.651003343,43.187982027,27.652003343,43.188482027,"245","245","25","255"
"378",27.651003343,43.187482027,27.652003343,43.187982027,"220","118",,"255"
"379",27.651003343,43.186982027,27.652003343,43.187482027,"184","13","3","255"
"380",27.651003343,43.186482027,27.652003343,43.186982027,"177","82","76","255"
"381",27.651003343,43.185982027,27.652003343,43.186482027,,,,
"382",27.651003343,43.185482027,27.652003343,43.185982027,,,,
"383",27.651003343,43.184982027,27.652003343,43.185482027,,,,
"384",27.651003343,43.184482027,27.652003343,43.184982027,,,,
"385",27.651003343,43.183982027,27.652003343,43.184482027,,,,
"386",27.651003343,43.183482027,27.652003343,43.183982027,,,,
"387",27.651003343,43.182982027,27.652003343,43.183482027,,,,
"388",27.651003343,43.182482027,27.652003343,43.182982027,,,,
"389",27.651003343,43.181982027,27.652003343,43.182482027,,,,
"390",27.651003343,43.181482027,27.652003343,43.181982027,,,,
"391",27.651003343,43.180982027,27.652003343,43.181482027,,,,
"392",27.651003343,43.180482027,27.652003343,43.180982027,,,,
"393",27.651003343,43.179982027,27.652003343,43.180482027,,,,
"394",27.651003343,43.179482027,27.652003343,43.179982027,,,,
"395",27.651003343,43.178982027,27.652003343,43.179482027,,,,
"396",27.651003343,43.178482027,27.652003343,43.178982027,,,,
"397",27.652003343,43.210982027,27.653003343,43.211482027,,,,
"398",27.652003343,43.210482027,27.653003343,43.210982027,,,,
"399",27.652003343,43.209982027,27.653003343,43.210482027,,,,
"400",27.652003343,43.209482027,27.653003343,43.209982027,,,,
"401",27.652003343,43.208982027,27.653003343,43.209482027,,,,
"402",27.652003343,43.208482027,27.653003343,43.208982027,,,,
"403",27.652003343,43.207982027,27.653003343,43.208482027,,,,
"404",27.652003343,43.207482027,27.653003343,43.207982027,,,,
"405",27.652003343,43.206982027,27.653003343,43.207482027,,,,
"406",27.652003343,43.206482027,27.653003343,43.206982027,,,,
"407",27.652003343,43.205982027,27.653003343,43.206482027,,,,
"408",27.652003343,43.205482027,27.653003343,43.205982027,,,,
"409",27.652003343,43.204982027,27.653003343,43.205482027,,,,
"410",27.652003343,43.204482027,27.653003343,43.204982027,,,,
"411",27.652003343,43.203982027,27.653003343,43.204482027,,,,
"412",27.652003343,43.203482027,27.653003343,43.203982027,,,,
"413",27.652003343,43.202982027,27.653003343,43.203482027,,,,
"414",27.652003343,43.202482027,27.653003343,43.202982027,,,,
"415",27.652003343,43.201982027,27.653003343,43.202482027,,,,
"416",27.652003343,43.201482027,27.653003343,43.201982027,,,,
"417",27.652003343,43.200982027,27.653003343,43.201482027,,,,
"418",27.652003343,43.200482027,27.653003343,43.200982027,,,,
"419",27.652003343,43.199982027,27.653003343,43.200482027,,,,
"420",27.652003343,43.199482027,27.653003343,43.199982027,,,,
"421",27.652003343,43.198982027,27.653003343,43.199482027,,,,
"422",27.652003343,43.198482027,27.653003343,43.198982027,,,,
"423",27.652003343,43.197982027,27.653003343,43.198482027,,,,
"424",27.652003343,43.197482027,27.653003343,43.197982027,,,,
"425",27.652003343,43.196982027,27.653003343,43.197482027,,,,
"426",27.652003343,43.196482027,27.653003343,43.196982027,,,,
"427",27.652003343,43.195982027,27.653003343,43.196482027,,,,
"428",27.652003343,43.195482027,27.653003343,43.195982027,,,,
"429",27.652003343,43.194982027,27.653003343,43.195482027,,,,
"430",27.652003343,43.194482027,27.653003343,43.194982027,,,,
"431",27.652003343,43.193982027,27.653003343,43.194482027,,,,
"432",27.652003343,43.193482027,27.653003343,43.193982027,,,,
"433",27.652003343,43.192982027,27.653003343,43.193482027,,,,
"434",27.652003343,43.192482027,27.653003343,43.192982027,"231","115","30","255"
"435",27.652003343,43.191982027,27.653003343,43.192482027,,,,
"436",27.652003343,43.191482027,27.653003343,43.191982027,,,,
"437",27.652003343,43.190982027,27.653003343,43.191482027,,,,
